restaurant_title,restaurant_address,restaurant_page,restaurant_note
A咖熊幸福鐵道景觀餐廳06-6561788,臺南市新營區南紙街88號,https://ifoodie.tw/restaurant/652d3a390fbeb1064da15307-A%E5%92%96%E7%86%8A%E5%B9%B8%E7%A6%8F%E9%90%B5%E9%81%93%E6%99%AF%E8%A7%80%E9%A4%90%E5%BB%B3-,https://ifoodie.tw/blog/6632ccc37be9c3307c9b59a5/link
娜咖啡 Hannah's Cafe,臺南市新營區復興路620巷61弄38號,https://ifoodie.tw/restaurant/5f8d0efa2261390c96ce6eee-%E5%A8%9C%E5%92%96%E5%95%A1-Hannah-s-Cafe,https://ifoodie.tw/blog/66317aee7be9c3bda90a0947/link
果知青冰舖,臺南市新營區中正路33之8號,https://ifoodie.tw/restaurant/5798f9f02756dd7b45af597c-%E6%9E%9C%E7%9F%A5%E9%9D%92%E5%86%B0%E8%88%96,https://ifoodie.tw/blog/662662a118107b559401e02e/link
阿福涼茶,臺南市新營區復興路21號,https://ifoodie.tw/restaurant/559a5920c03a1015ea6fb4fb-%E9%98%BF%E7%A6%8F%E6%B6%BC%E8%8C%B6,https://ifoodie.tw/blog/6623bf26ff13ce2f7ee88cab/link
牛丁次郎坊x台南新營支店,臺南市新營區三民路95之3號,https://ifoodie.tw/restaurant/660ea936927f8045ab1a61ae-%E7%89%9B%E4%B8%81%E6%AC%A1%E9%83%8E%E5%9D%8Ax%E5%8F%B0%E5%8D%97%E6%96%B0%E7%87%9F%E6%94%AF%E5%BA%97,https://ifoodie.tw/blog/660de2d1680b57d5f0dfd3d5/link
漫步日光,新營區中山路50-3號,https://ifoodie.tw/restaurant/65fd7dc9eb74c427713f4f89-%E6%BC%AB%E6%AD%A5%E6%97%A5%E5%85%89,https://ifoodie.tw/blog/65fd7d077be9c3dbd473fe41/link
弎弌和茗園,臺南市新營區大同路39號,https://ifoodie.tw/restaurant/6332733efaabb434154dae14-%E5%BC%8E%E5%BC%8C%E5%92%8C%E8%8C%97%E5%9C%92,https://ifoodie.tw/blog/65f851087be9c373af9853fb/link
川醉湘麻辣燙 新營民生店,臺南市新營區民生路123號,https://ifoodie.tw/restaurant/65eab5387be9c325a060b0d0-%E5%B7%9D%E9%86%89%E6%B9%98%E9%BA%BB%E8%BE%A3%E7%87%99-%E6%96%B0%E7%87%9F%E6%B0%91%E7%94%9F%E5%BA%97,https://ifoodie.tw/blog/65e9855e6f0c0228273bf267/link
阿翔蚵仔煎,臺南市新營區復興路104之1號,https://ifoodie.tw/restaurant/559a5a2cc03a1015ea6fb55f-%E9%98%BF%E7%BF%94%E8%9A%B5%E4%BB%94%E7%85%8E,https://ifoodie.tw/blog/65cb55847be9c3710395e4fd/link
蔡家冰糖滷味（新營總店）,臺南市新營區三民路136之15號,https://ifoodie.tw/restaurant/65afbd77927f80b33a4c3bca-%E8%94%A1%E5%AE%B6%E5%86%B0%E7%B3%96%E6%BB%B7%E5%91%B3-%E6%96%B0%E7%87%9F%E7%B8%BD%E5%BA%97-,https://ifoodie.tw/blog/65afbba15ecafca70591e9f6/link
山寨家庭餐廳,臺南市新營區金華路二段268號,https://ifoodie.tw/restaurant/5c279896f5246864160bd3e1-%E5%B1%B1%E5%AF%A8%E5%AE%B6%E5%BA%AD%E9%A4%90%E5%BB%B3,https://ifoodie.tw/blog/65a77d55af4c2bf030c02f18/link
龍鳳東大門韓國料理,臺南市新營區中正路12號,https://ifoodie.tw/restaurant/57b89c412756dd1a86feda7f-%E9%BE%8D%E9%B3%B3%E6%9D%B1%E5%A4%A7%E9%96%80%E9%9F%93%E5%9C%8B%E6%96%99%E7%90%86,https://ifoodie.tw/blog/65a5bc3ae3602ed9aa5296a7/link
永浤牛肉清湯,台南市新營區復興路157-9號,https://ifoodie.tw/restaurant/5713d0352756dd4d19171e12-%E6%B0%B8%E6%B5%A4%E7%89%9B%E8%82%89%E6%B8%85%E6%B9%AF,https://ifoodie.tw/blog/65a46a4625f9aade6a22b1c4/link
